candidate_key,uplift_rule,uplift_mult,selected_count,selected_rate,global_wmape,global_ratio,4_25_under_wape,4_25_sku_p50,ice_4_25_sku_p50,blockbuster_under_wape,blockbuster_sku_p50,top20_true_volume_capture,rank_corr_positive_skus,1_3_ratio,false_positive_rate_zero_true,zero_true_pred_ge_3_rate,max_anchor_global_ratio,anchor_ratio_over_110_count,global_wmape_delta_vs_router,global_wmape_delta_vs_phase7,global_ratio_delta_vs_router,global_ratio_delta_vs_phase7,4_25_under_wape_delta_vs_router,4_25_under_wape_delta_vs_phase7,4_25_sku_p50_delta_vs_router,4_25_sku_p50_delta_vs_phase7,ice_4_25_sku_p50_delta_vs_router,ice_4_25_sku_p50_delta_vs_phase7,blockbuster_under_wape_delta_vs_router,blockbuster_under_wape_delta_vs_phase7,blockbuster_sku_p50_delta_vs_router,blockbuster_sku_p50_delta_vs_phase7,top20_true_volume_capture_delta_vs_router,top20_true_volume_capture_delta_vs_phase7,rank_corr_positive_skus_delta_vs_router,rank_corr_positive_skus_delta_vs_phase7,1_3_ratio_delta_vs_router,1_3_ratio_delta_vs_phase7,false_positive_rate_zero_true_delta_vs_router,false_positive_rate_zero_true_delta_vs_phase7,zero_true_pred_ge_3_rate_delta_vs_router,zero_true_pred_ge_3_rate_delta_vs_phase7,wmape_improvement_pct_vs_phase7,blockbuster_under_improvement_pct_vs_phase7,anchor_ratio_safe,phase7_style_gate,strict_router_win,phase8_final_recommended_gate
uplift_pred_ge_8_prob_ge_0.70_signal_ge_50_x108,pred_ge_8_prob_ge_0.70_signal_ge_50,1.08,834,0.020562130177514792,0.6467763729878255,1.0496286108673272,0.3310434445118492,0.6764230894731891,0.6060111058996797,0.34166586643466496,0.6395643355540224,0.6524430436550572,0.8078294287033001,1.2788177983418045,0.15645560130135022,0.0145398666145235,1.1093561700419374,1,-0.012275794698965559,-0.03953182122019305,0.029779375618094628,0.03372719784674749,-0.015524217601182277,-0.025574542728753813,0.011826611821808442,0.01761518400612394,0.007868592092733495,0.02073619094488588,-0.04030738836790354,-0.07480886120569824,0.04385821765858533,0.0856294756781093,0.0,0.0030646053646500304,-8.589950334592089e-06,0.0034132236247403913,0.0029519895418868014,-0.02107949319864333,5.551115123125783e-17,-0.005535163004978028,5.0306980803327406e-17,-0.0014192961756265485,5.760068370713791,17.962401135249113,False,True,True,False
uplift_pred_ge_10_prob_ge_0.50_signal_ge_20_x108,pred_ge_10_prob_ge_0.50_signal_ge_20,1.08,616,0.015187376725838263,0.6480299176751043,1.046064126504278,0.3357042573698193,0.6720078609862614,0.6022795418341795,0.34187290818236094,0.643362607327072,0.6524430436550572,0.8078361343632315,1.2769317968145988,0.15645560130135022,0.0145398666145235,1.1030731753202285,1,-0.011022250011686774,-0.03827827653291427,0.026214891255045503,0.030162713483698367,-0.01086340474321218,-0.020913729870783715,0.007411383334880783,0.013199955519196283,0.004137028027233369,0.017004626879385754,-0.04010034662020756,-0.07460181945800226,0.04765648943163492,0.08942774745115889,0.0,0.0030646053646500304,-1.8842904031535213e-06,0.00341992928467183,0.0010659880146810519,-0.022965494725849078,5.551115123125783e-17,-0.005535163004978028,5.0306980803327406e-17,-0.0014192961756265485,5.577417967023749,17.912688215363424,False,True,True,False
uplift_pred_ge_10_prob_ge_0.50_signal_ge_50_x108,pred_ge_10_prob_ge_0.50_signal_ge_50,1.08,612,0.015088757396449704,0.6481146514613902,1.0459793927179923,0.3358743485888322,0.6716766727081738,0.6022795418341795,0.34187290818236094,0.643362607327072,0.6524430436550572,0.8078324631511328,1.2769317968145988,0.15645560130135022,0.0145398666145235,1.1029984674097755,1,-0.010937516225400845,-0.03819354274662834,0.026130157468759796,0.03007797969741266,-0.010693313524199277,-0.020743638651770813,0.007080195056793137,0.012868767241108636,0.004137028027233369,0.017004626879385754,-0.04010034662020756,-0.07460181945800226,0.04765648943163492,0.08942774745115889,0.0,0.0030646053646500304,-5.555502501919385e-06,0.003416258072573064,0.0010659880146810519,-0.022965494725849078,5.551115123125783e-17,-0.005535163004978028,5.0306980803327406e-17,-0.0014192961756265485,5.565071649873373,17.912688215363424,False,True,True,False
uplift_pred_ge_8_prob_ge_0.70_signal_ge_80_x108,pred_ge_8_prob_ge_0.70_signal_ge_80,1.08,771,0.019008875739644972,0.647577516422251,1.0484038266421871,0.33290410243388346,0.6740228506390726,0.6024333852957,0.34187455361275454,0.6395643355540224,0.6524430436550572,0.8078158050143227,1.2781852922142276,0.15645560130135022,0.0145398666145235,1.1074074089429957,1,-0.011474651264540059,-0.03873067778576755,0.028554591392954576,0.03250241362160744,-0.013663559679148007,-0.023713884806719543,0.009426372987692,0.015214945172007499,0.004290871488753845,0.01715847034090623,-0.04009870118981396,-0.07460017402760866,0.04385821765858533,0.0856294756781093,0.0,0.0030646053646500304,-2.221363931198539e-05,0.003399599935762998,0.0023194834143098753,-0.021711999326220255,5.551115123125783e-17,-0.005535163004978028,5.0306980803327406e-17,-0.0014192961756265485,5.64333605698264,17.912293130071475,False,True,True,False
uplift_pred_ge_10_prob_ge_0.50_signal_ge_80_x108,pred_ge_10_prob_ge_0.50_signal_ge_80,1.08,585,0.014423076923076924,0.648540330450627,1.045346627143867,0.3368128690542303,0.6703306778790675,0.6009239533018447,0.3420256744791934,0.643362607327072,0.6524430436550572,0.8078279370854986,1.2766807246000655,0.15645560130135022,0.0145398666145235,1.1022489965425444,1,-0.010511837236164112,-0.037767863757391607,0.025497391894634402,0.029445214123287267,-0.00975479305880117,-0.019805118186372705,0.005734200227686892,0.011522772412002391,0.0027814394948985077,0.015649038347050892,-0.03994758032337509,-0.07444905316116979,0.04765648943163492,0.08942774745115889,0.0,0.0030646053646500304,-1.0081568136088848e-05,0.0034117320069388946,0.0008149158001478085,-0.02321656694038232,5.551115123125783e-17,-0.005535163004978028,5.0306980803327406e-17,-0.0014192961756265485,5.503047184359312,17.87600740697488,False,True,True,False
uplift_pred_ge_10_prob_ge_0.70_signal_ge_20_x108,pred_ge_10_prob_ge_0.70_signal_ge_20,1.08,608,0.014990138067061143,0.6480160430528479,1.0458218972610358,0.3357849665111229,0.6720078609862614,0.6022795418341795,0.34210697463997,0.6395643355540224,0.6524430436550572,0.8078345977841511,1.2769317968145988,0.15645560130135022,0.0145398666145235,1.1026439471936502,1,-0.011036124633943212,-0.038292151155170706,0.02597266201180326,0.029920484240456124,-0.010782695601908587,-0.020833020729480123,0.007411383334880783,0.013199955519196283,0.004137028027233369,0.017004626879385754,-0.03986628016259852,-0.07436775300039322,0.04385821765858533,0.0856294756781093,0.0,0.0030646053646500304,-3.420869483572453e-06,0.003418392705591411,0.0010659880146810519,-0.022965494725849078,5.551115123125783e-17,-0.005535163004978028,5.0306980803327406e-17,-0.0014192961756265485,5.579439598467687,17.85648637595406,False,True,True,False
uplift_pred_ge_10_prob_ge_0.70_signal_ge_50_x108,pred_ge_10_prob_ge_0.70_signal_ge_50,1.08,604,0.014891518737672584,0.6481007768391337,1.04573716347475,0.3359550577301358,0.6716766727081738,0.6022795418341795,0.34210697463997,0.6395643355540224,0.6524430436550572,0.8078309013248607,1.2769317968145988,0.15645560130135022,0.0145398666145235,1.1025692392831972,1,-0.010951390847657394,-0.03820741736888489,0.025887928225517554,0.029835750454170418,-0.010612604382895685,-0.02066292951046722,0.007080195056793137,0.012868767241108636,0.004137028027233369,0.017004626879385754,-0.03986628016259852,-0.07436775300039322,0.04385821765858533,0.0856294756781093,0.0,0.0030646053646500304,-7.117328774008946e-06,0.0034146962463009745,0.0010659880146810519,-0.022965494725849078,5.551115123125783e-17,-0.005535163004978028,5.0306980803327406e-17,-0.0014192961756265485,5.567093281317329,17.85648637595406,False,True,True,False
uplift_pred_ge_10_prob_ge_0.70_signal_ge_80_x108,pred_ge_10_prob_ge_0.70_signal_ge_80,1.08,578,0.014250493096646943,0.6484979956859025,1.0451328580430927,0.33689357819553384,0.6703306778790675,0.6009239533018447,0.3421642526915748,0.6395643355540224,0.6524430436550572,0.8078268367078978,1.2766807246000655,0.15645560130135022,0.0145398666145235,1.101819768415966,1,-0.010554172000888595,-0.03781019852211609,0.025283622793860205,0.02923144502251307,-0.009674083917497633,-0.01972440904506917,0.005734200227686892,0.011522772412002391,0.0027814394948985077,0.015649038347050892,-0.039809002110993696,-0.0743104749487884,0.04385821765858533,0.0856294756781093,0.0,0.0030646053646500304,-1.1181945736904453e-05,0.003410631629338079,0.0008149158001478085,-0.02321656694038232,5.551115123125783e-17,-0.005535163004978028,5.0306980803327406e-17,-0.0014192961756265485,5.509215661594723,17.842733308167844,False,True,True,False
uplift_pred_ge_8_prob_ge_0.85_signal_ge_20_x108,pred_ge_8_prob_ge_0.85_signal_ge_20,1.08,791,0.01950197238658777,0.6477891822273147,1.048402830819379,0.3318251984589179,0.6759746249665006,0.6051509628557792,0.3438607241851216,0.6395643355540224,0.6524430436550572,0.8078076782974014,1.2787301885618798,0.15645560130135022,0.0145398666145235,1.1087846134726733,1,-0.011262985459476349,-0.03851901198070384,0.028553595570146362,0.032501417798799226,-0.01474246365411358,-0.024792788781685116,0.01137814731511999,0.01716671949943549,0.007008449048833021,0.019876047900985405,-0.038112530617446905,-0.0726140034552416,0.04385821765858533,0.0856294756781093,0.0,0.0030646053646500304,-3.0340356233282684e-05,0.0033914732188417007,0.002864379761962077,-0.021167102978568053,5.551115123125783e-17,-0.005535163004978028,5.0306980803327406e-17,-0.0014192961756265485,5.612494839166791,17.43539250668427,False,True,True,False
uplift_pred_ge_8_prob_ge_0.85_signal_ge_50_x108,pred_ge_8_prob_ge_0.85_signal_ge_50,1.08,776,0.01913214990138067,0.6478378224373229,1.0481478418318881,0.33212319136628476,0.6758398610704113,0.6041535128557791,0.3438607241851216,0.6395643355540224,0.6524430436550572,0.8077953768342054,1.2787301885618798,0.15645560130135022,0.0145398666145235,1.108077309236822,1,-0.011214345249468183,-0.03847037177069568,0.028298606582655594,0.03224642881130846,-0.014444470746746707,-0.024494795874318243,0.01124338341903064,0.01703195560334614,0.0060109990488329545,0.01887859790098534,-0.038112530617446905,-0.0726140034552416,0.04385821765858533,0.0856294756781093,0.0,0.0030646053646500304,-4.26418194292566e-05,0.003379171755645727,0.002864379761962077,-0.021167102978568053,5.551115123125783e-17,-0.005535163004978028,5.0306980803327406e-17,-0.0014192961756265485,5.605407613570673,17.43539250668427,False,True,True,False
uplift_pred_ge_8_prob_ge_0.85_signal_ge_80_x108,pred_ge_8_prob_ge_0.85_signal_ge_80,1.08,718,0.01770216962524655,0.6485786495596099,1.0470127252235322,0.3338475742212185,0.6737404168543506,0.6015217266730006,0.34406941136321123,0.6395643355540224,0.6524430436550572,0.8077849547558176,1.2780976824343027,0.15645560130135022,0.0145398666145235,1.1061872507471715,1,-0.010473518127181225,-0.03772954464840872,0.027163489974299626,0.03111131220295249,-0.012720087891812948,-0.022770413019384483,0.009143939202969964,0.014932511387285463,0.0033792128660544707,0.016246811718206855,-0.037903843439357265,-0.07240531627715197,0.04385821765858533,0.0856294756781093,0.0,0.0030646053646500304,-5.306389781711829e-05,0.003368749677257865,0.002231873634384929,-0.0217996091061452,5.551115123125783e-17,-0.005535163004978028,5.0306980803327406e-17,-0.0014192961756265485,5.49746381681303,17.385284501506618,False,True,True,False
uplift_pred_ge_10_prob_ge_0.85_signal_ge_20_x108,pred_ge_10_prob_ge_0.85_signal_ge_20,1.08,568,0.014003944773175542,0.6489613071839693,1.0446378277111488,0.33653036649618256,0.671739156057855,0.6018630915446797,0.34417884162825363,0.6395643355540224,0.6524430436550572,0.807815904494388,1.2769317968145988,0.15645560130135022,0.0145398666145235,1.1017942258906317,1,-0.010090860502821819,-0.03734688702404931,0.024788592461916226,0.02873641469056909,-0.010037295616848907,-0.020087620744420442,0.007142678406474312,0.012931250590789811,0.003720577737733488,0.016588176589885872,-0.03779441317431487,-0.07229588601210957,0.04385821765858533,0.0856294756781093,0.0,0.0030646053646500304,-2.2114159246688914e-05,0.0033996994158282945,0.0010659880146810519,-0.022965494725849078,5.551115123125783e-17,-0.005535163004978028,5.0306980803327406e-17,-0.0014192961756265485,5.441707871074835,17.359009134052176,False,True,True,False
uplift_pred_ge_10_prob_ge_0.85_signal_ge_50_x108,pred_ge_10_prob_ge_0.85_signal_ge_50,1.08,566,0.013954635108481262,0.6490048212546324,1.0445943136404858,0.3366255534297472,0.6714712684047672,0.6018630915446797,0.34417884162825363,0.6395643355540224,0.6524430436550572,0.8078140158872608,1.2769317968145988,0.15645560130135022,0.0145398666145235,1.1017195179801786,1,-0.010047346432158655,-0.03730337295338615,0.024745078391253283,0.028692900619906148,-0.009942108683284268,-0.019992433810855803,0.006874790753386595,0.012663362937702094,0.003720577737733488,0.016588176589885872,-0.03779441317431487,-0.07229588601210957,0.04385821765858533,0.0856294756781093,0.0,0.0030646053646500304,-2.4002766373931728e-05,0.0033978108087010517,0.0010659880146810519,-0.022965494725849078,5.551115123125783e-17,-0.005535163004978028,5.0306980803327406e-17,-0.0014192961756265485,5.435367560551022,17.359009134052176,False,True,True,False
uplift_pred_ge_10_prob_ge_0.85_signal_ge_80_x108,pred_ge_10_prob_ge_0.85_signal_ge_80,1.08,542,0.013362919132149901,0.6493572613685938,1.044034786941636,0.33748270217936416,0.6701996403790674,0.600507503012345,0.34423611967985845,0.6395643355540224,0.6524430436550572,0.8078108279368069,1.2766807246000655,0.15645560130135022,0.0145398666145235,1.1009700471129473,1,-0.00969490631819725,-0.036950932839424744,0.02418555169240344,0.028133373921056304,-0.009084959933667314,-0.01913528506123885,0.005603162727686795,0.011391734912002294,0.0023649892053988486,0.015232588057551233,-0.03773713512271004,-0.07223860796050474,0.04385821765858533,0.0856294756781093,0.0,0.0030646053646500304,-2.7190716827774075e-05,0.0033946228582472093,0.0008149158001478085,-0.02321656694038232,5.551115123125783e-17,-0.005535163004978028,5.0306980803327406e-17,-0.0014192961756265485,5.384014521648709,17.345256066265964,False,True,True,False
uplift_pred_ge_8_prob_ge_0.50_signal_ge_120_x108,pred_ge_8_prob_ge_0.50_signal_ge_120,1.08,660,0.016272189349112426,0.6492719107190343,1.0459349969724872,0.3354530866578458,0.6708454755664718,0.6005508875946736,0.34430821220251095,0.6428453806662175,0.6524430436550572,0.8077922332885143,1.2774398545088148,0.15645560130135022,0.0145398666145235,1.1036592818461386,1,-0.00978025696775675,-0.037036283488984245,0.026085761723254608,0.030033583951907472,-0.011114575455185682,-0.021164900582757218,0.006248997915091148,0.012037570099406647,0.0024083737877274025,0.015275972639879787,-0.03766504260005754,-0.07216651543785224,0.04713926277078051,0.08891052079030448,0.0,0.0030646053646500304,-4.578536512034326e-05,0.00337602820995464,0.001574045708897076,-0.022457437031633054,5.551115123125783e-17,-0.005535163004978028,5.0306980803327406e-17,-0.0014192961756265485,5.396450720178728,17.3279458868318,False,True,True,False
uplift_pred_ge_8_prob_ge_0.70_signal_ge_120_x108,pred_ge_8_prob_ge_0.70_signal_ge_120,1.08,647,0.015951676528599606,0.6492602192832446,1.0456448158054996,0.3356315671700959,0.6708454755664718,0.6005508875946736,0.34444679041489235,0.639047108893168,0.6524430436550572,0.8077820589079322,1.2774398545088148,0.15645560130135022,0.0145398666145235,1.1029956278991282,1,-0.009791948403546469,-0.03704797492477396,0.025795580556267073,0.029743402784919937,-0.01093609494293557,-0.020986420070507106,0.006248997915091148,0.012037570099406647,0.0024083737877274025,0.015275972639879787,-0.03752646438767615,-0.07202793722547085,0.04334099099773092,0.08511224901725489,0.0,0.0030646053646500304,-5.595974570249407e-05,0.0033658538293724893,0.001574045708897076,-0.022457437031633054,5.551115123125783e-17,-0.005535163004978028,5.0306980803327406e-17,-0.0014192961756265485,5.398154245779674,17.29467178802476,False,True,True,False
uplift_pred_ge_8_prob_ge_0.85_signal_ge_120_x108,pred_ge_8_prob_ge_0.85_signal_ge_120,1.08,603,0.014866863905325444,0.6502028218849512,1.0444606670194727,0.33645341038349297,0.6704619345942495,0.6001344373051738,0.34641645726600684,0.639047108893168,0.6524430436550572,0.8077635020335552,1.27735224472889,0.15645560130135022,0.0145398666145235,1.1019508168377103,1,-0.008849345801839936,-0.03610537232306743,0.024611431770240166,0.02855925399889303,-0.010114251729538504,-0.02016457685711004,0.005865456942868885,0.011654029127184384,0.0019919234982276324,0.014859522350380017,-0.03555679753656166,-0.07005827037435636,0.04334099099773092,0.08511224901725489,0.0,0.0030646053646500304,-7.451662007951221e-05,0.003347296954995471,0.0014864359289723517,-0.02254504681155778,5.551115123125783e-17,-0.005535163004978028,5.0306980803327406e-17,-0.0014192961756265485,5.260810322209845,16.821733883178982,False,True,True,False
uplift_top_demand_score_q95_x105,top_demand_score_q95,1.05,2028,0.05,0.6496305969816731,1.0470309672382974,0.32702704656964665,0.6813313403966406,0.6131034479142248,0.3556271089162181,0.625491423790209,0.6524430436550572,0.8078237905025989,1.2840094898257894,0.15645560130135022,0.0145398666145235,1.1048049552305996,1,-0.009421570705117954,-0.03667759722634545,0.027181731989064817,0.03112955421771768,-0.01954061554338482,-0.029590940670956356,0.016734862745259926,0.022523434929575425,0.014960934107278612,0.027828532959430996,-0.02634614588635037,-0.06084761872414507,0.029785305894771907,0.07155656391429588,0.0,0.0030646053646500304,-1.4228151035799996e-05,0.0034075854240391834,0.008143681025871707,-0.015887801714658423,5.551115123125783e-17,-0.005535163004978028,5.0306980803327406e-17,-0.0014192961756265485,5.344187572854266,14.610158716926655,False,True,True,False
